iter	Passed	Remaining
0	8	4912
1	14	4275
2	20	4102
3	29	4429
4	33	3937
5	38	3847
6	43	3671
7	48	3602
8	53	3490
9	57	3394
10	62	3365
11	67	3313
12	72	3282
13	76	3221
14	83	3241
15	87	3192
16	91	3146
17	96	3126
18	100	3086
19	105	3046
20	109	3006
21	114	3020
22	119	2996
23	123	2967
24	128	2953
25	132	2927
26	137	2913
27	141	2893
28	146	2887
29	151	2872
30	155	2849
31	159	2828
32	163	2811
33	168	2799
34	172	2782
35	177	2773
36	181	2762
37	185	2749
38	189	2731
39	195	2738
40	199	2725
41	204	2710
42	208	2700
43	212	2690
44	217	2680
45	221	2666
46	226	2670
47	231	2660
48	235	2650
49	240	2644
50	245	2641
51	249	2628
52	253	2617
53	258	2615
54	263	2609
55	268	2610
56	273	2607
57	278	2606
58	281	2582
59	285	2572
60	291	2574
61	295	2564
62	299	2554
63	303	2542
64	308	2539
65	312	2530
66	317	2522
67	321	2517
68	327	2520
69	331	2511
70	335	2502
71	342	2515
72	347	2507
73	351	2499
74	355	2487
75	360	2483
76	364	2474
77	368	2465
78	373	2466
79	378	2457
80	382	2448
81	387	2446
82	391	2440
83	395	2431
84	399	2422
85	404	2415
86	408	2407
87	412	2398
88	416	2389
89	420	2383
90	424	2374
91	428	2368
92	434	2367
93	439	2366
94	443	2358
95	447	2349
96	452	2347
97	456	2340
98	461	2337
99	465	2326
100	469	2321
101	474	2315
102	478	2309
103	482	2303
104	488	2303
105	492	2295
106	496	2287
107	501	2283
108	506	2279
109	510	2272
110	514	2264
111	518	2260
112	522	2253
113	527	2246
114	529	2231
115	534	2229
116	538	2224
117	542	2217
118	547	2212
119	552	2210
120	556	2204
121	561	2198
122	565	2194
123	570	2189
124	574	2184
125	579	2178
126	585	2179
127	589	2173
128	593	2168
129	598	2164
130	603	2159
131	608	2155
132	612	2149
133	616	2145
134	621	2139
135	625	2133
136	629	2128
137	634	2124
138	639	2120
139	643	2115
140	649	2113
141	653	2108
142	658	2103
143	663	2099
144	667	2094
145	672	2090
146	676	2085
147	681	2080
148	685	2073
149	690	2070
150	696	2070
151	700	2063
152	703	2056
153	707	2049
154	714	2050
155	718	2044
156	722	2038
157	727	2034
158	731	2028
159	735	2022
160	739	2015
161	743	2011
162	747	2005
163	751	1997
164	755	1991
165	760	1989
166	764	1982
167	768	1974
168	771	1967
169	776	1963
170	780	1956
171	783	1949
172	787	1943
173	792	1941
174	796	1934
175	800	1927
176	803	1920
177	808	1916
178	812	1910
179	816	1904
180	819	1897
181	823	1891
182	827	1885
183	830	1878
184	834	1872
185	838	1865
186	842	1859
187	845	1853
188	849	1847
189	853	1840
190	857	1835
191	861	1830
192	865	1824
193	868	1818
194	873	1813
195	877	1808
196	880	1801
197	884	1795
198	888	1789
199	891	1783
200	895	1777
201	899	1771
202	902	1765
203	906	1760
204	910	1754
205	913	1747
206	917	1742
207	922	1737
208	925	1732
209	929	1726
210	933	1720
211	936	1714
212	940	1709
213	944	1703
214	947	1697
215	951	1691
216	955	1687
217	959	1681
218	963	1676
219	967	1671
220	972	1667
